,0,1,2,3,4,5,6
chr1,32,32,34,49,54,65,71
chr2,24,29,28,40,43,48,56
chr3,18,23,21,35,37,43,52
chr4,24,25,29,38,45,44,42
chr5,33,36,35,50,54,58,60
chr6,21,23,27,38,47,52,52
chr7,19,22,23,30,33,38,38
chr8,12,13,16,22,28,27,32
chr9,25,27,31,37,35,38,42
chr10,6,6,7,17,22,26,31
chr11,15,17,18,28,32,33,34
chr12,23,27,27,37,42,48,56
chr13,8,14,14,14,15,16,18
chr14,3,3,5,9,12,19,21
chr15,21,21,26,36,42,47,51
chr16,3,5,8,13,13,15,14
chr17,12,15,17,25,28,34,36
chr18,16,17,21,27,26,26,26
chr19,34,35,33,42,47,50,52
chr20,11,15,15,23,28,32,31
chr21,2,2,8,6,10,11,12
chr22,0,0,0,0,0,0,0
